id,name,lon,lat
552,552,-80.09269,26.47876
553,553,-80.1022,26.491407
554,554,-80.085905,26.492731
555,555,-80.077623,26.490361
556,556,-80.079742,26.472395
557,557,-80.085477,26.471982
558,558,-80.086211,26.46599
559,559,-80.078415,26.463522
560,560,-80.086064,26.454306
561,561,-80.077073,26.457983
562,562,-80.078964,26.443848
563,563,-80.07523,26.441869
564,564,-80.087036,26.44326
565,565,-80.091645,26.443146
566,566,-80.094685,26.442837
567,567,-80.094833,26.452555
568,568,-80.092306,26.456943
569,569,-80.092369,26.465155
570,570,-80.094817,26.463688
571,571,-80.098087,26.464305
572,572,-80.107053,26.467124
573,573,-80.118427,26.467354
574,574,-80.121616,26.463537
575,575,-80.120136,26.459741
576,576,-80.115991,26.459735
577,577,-80.108905,26.463073
578,578,-80.10778,26.459584
579,579,-80.114235,26.44956
580,580,-80.101291,26.452256
581,581,-80.101497,26.442869
582,582,-80.113551,26.44411
583,583,-80.104062,26.437666
584,584,-80.095661,26.437213
585,585,-80.091583,26.432039
586,586,-80.087344,26.437613
587,587,-80.078981,26.43613
588,588,-80.073215,26.435423
589,589,-80.07869,26.428279
590,590,-80.094065,26.431706
591,591,-80.11645,26.434888
592,592,-80.111686,26.427749
593,593,-80.11409,26.417901
594,594,-80.096283,26.421307
595,595,-80.094062,26.41419
596,596,-80.096337,26.401131
597,597,-80.106085,26.399195
598,598,-80.110553,26.390292
599,599,-80.127602,26.390548
600,600,-80.122706,26.401817
601,601,-80.125789,26.416919
602,602,-80.138029,26.413076
603,603,-80.162031,26.416737
604,604,-80.160496,26.401042
605,605,-80.136774,26.408206
606,606,-80.150478,26.390779
607,607,-80.159664,26.380616
608,608,-80.141597,26.370604
609,609,-80.133999,26.383198
610,610,-80.138117,26.390552
611,611,-80.125387,26.384077
612,612,-80.125266,26.376885
613,613,-80.133026,26.376144
614,614,-80.13334,26.37048
615,615,-80.125225,26.370383
616,616,-80.116294,26.381726
617,617,-80.099299,26.37478
618,618,-80.100443,26.388342
619,619,-80.088711,26.398312
620,620,-80.086205,26.406231
621,621,-80.085849,26.419442
622,622,-80.079027,26.421157
623,623,-80.080867,26.40601
624,624,-80.082002,26.398319
625,625,-80.083024,26.39016
626,626,-80.090827,26.390583
627,627,-80.090347,26.38405
628,628,-80.084232,26.381442
629,629,-80.090151,26.377937
630,630,-80.086673,26.371432
631,631,-80.091531,26.371814
632,632,-80.093117,26.365156
633,633,-80.088028,26.365027
634,634,-80.088305,26.359301
635,635,-80.09188,26.355933
636,636,-80.095985,26.356006
637,637,-80.094529,26.346546
638,638,-80.090224,26.346197
639,639,-80.075632,26.420102
640,640,-80.072413,26.418994
641,641,-80.07775,26.405612
642,642,-80.075206,26.401456
643,643,-80.071431,26.407146
644,644,-80.071671,26.401545
645,645,-80.073381,26.396392
646,646,-80.078378,26.398098
647,647,-80.079141,26.390093
648,648,-80.073621,26.390432
649,649,-80.073904,26.380058
650,650,-80.079845,26.38053
651,651,-80.080821,26.371545
652,652,-80.074629,26.368762
653,653,-80.059712,26.468033
654,654,-80.061191,26.458035
655,655,-80.062075,26.44755
656,656,-80.063391,26.433588
657,657,-80.067739,26.39673
658,658,-80.068479,26.388655
659,659,-80.071638,26.358212
660,660,-80.072501,26.344516
661,661,-80.076085,26.330651
662,662,-80.075806,26.360249
663,663,-80.083474,26.363595
664,664,-80.085057,26.360116
665,665,-80.080594,26.35742
666,666,-80.085612,26.354814
667,667,-80.087413,26.347716
668,668,-80.084767,26.347558
669,669,-80.080606,26.349882
670,670,-80.080065,26.344636
671,671,-80.087728,26.34301
672,672,-80.08883,26.336671
673,673,-80.08356,26.334861
674,674,-80.084825,26.325733
675,675,-80.094071,26.326528
676,676,-80.15999,26.366779
677,677,-80.162213,26.361134
678,678,-80.162675,26.353678
679,679,-80.162361,26.346429
680,680,-80.162222,26.337087
681,681,-80.161985,26.32973
682,682,-80.140897,26.329865
683,683,-80.122696,26.329905
684,684,-80.123892,26.337644
685,685,-80.132324,26.339135
686,686,-80.144245,26.337499
687,687,-80.141231,26.34729
688,688,-80.124566,26.347399
689,689,-80.124701,26.354244
690,690,-80.132739,26.356261
691,691,-80.144504,26.353965
692,692,-80.144645,26.360938
693,693,-80.150299,26.366017
694,694,-80.141743,26.366848
695,695,-80.132985,26.365194
696,696,-80.132233,26.359743
697,697,-80.126135,26.365049
698,698,-80.122483,26.362255
699,699,-80.117982,26.359699
700,700,-80.117855,26.364925
701,701,-80.112971,26.365999
702,702,-80.112585,26.359454
703,703,-80.101773,26.36342
704,704,-80.100482,26.359535
705,705,-80.101301,26.353971
706,706,-80.107108,26.354013
707,707,-80.114927,26.355633
708,708,-80.115628,26.35233
709,709,-80.114533,26.347427
710,710,-80.10766,26.347385
711,711,-80.100935,26.347215
712,712,-80.10103,26.341898
713,713,-80.099873,26.337467
714,714,-80.107409,26.339901
715,715,-80.114265,26.339936
716,716,-80.119141,26.343068
717,717,-80.113989,26.333832
718,718,-80.11379,26.32993
719,719,-80.106295,26.32997
720,720,-80.10634,26.333867
721,721,-80.098791,26.333162
722,722,-80.099431,26.32952
723,723,-80.096057,26.327683
724,724,-80.093551,26.336131
725,725,-80.328309,26.667607
726,726,-80.317171,26.636938
727,727,-80.254956,26.672611
728,728,-80.246841,26.651556
729,729,-80.245015,26.664351
730,730,-80.227924,26.659127
731,731,-80.226556,26.673605
732,732,-80.214658,26.676302
733,733,-80.183539,26.665793
734,734,-80.180697,26.640229
735,735,-80.194284,26.64222
736,736,-80.211753,26.645565
737,737,-80.213188,26.614646
738,738,-80.198163,26.610222
739,739,-80.182916,26.609367
740,740,-80.180283,26.585675
741,741,-80.201298,26.580782
742,742,-80.223977,26.555463
743,743,-80.201432,26.567545
744,744,-80.181443,26.561261
745,745,-80.178761,26.533394
746,746,-80.200953,26.533191
747,747,-80.214949,26.517935
748,748,-80.196713,26.516406
749,749,-80.176642,26.524005
750,750,-80.180734,26.505195
751,751,-80.196633,26.505233
752,752,-80.213223,26.490831
753,753,-80.19663,26.494003
754,754,-80.180787,26.490701
755,755,-80.180899,26.476418
756,756,-80.196055,26.476075
757,757,-80.212826,26.474829
758,758,-80.199889,26.457397
759,759,-80.181486,26.461249
760,760,-80.181482,26.448129
761,761,-80.192082,26.449891
762,762,-80.180583,26.432928
763,763,-80.195626,26.431034
764,764,-80.218029,26.427177
765,765,-80.195425,26.420056
766,766,-80.179484,26.420192
767,767,-80.179268,26.412552
768,768,-80.179177,26.406056
769,769,-80.195003,26.407882
770,770,-80.179157,26.397821
771,771,-80.179282,26.386806
772,772,-80.1953,26.386619
773,773,-80.195074,26.375317
774,774,-80.17707,26.375528
775,775,-80.172801,26.369722
776,776,-80.190743,26.369737
777,777,-80.207848,26.378606
778,778,-80.228899,26.357097
779,779,-80.191299,26.341473
780,780,-80.20722,26.331457
781,781,-80.207086,26.341832
782,782,-80.211301,26.35674
783,783,-80.190599,26.355919
784,784,-80.188678,26.366026
785,785,-80.173101,26.366574
786,786,-80.178829,26.354955
787,787,-80.178942,26.345674
788,788,-80.198534,26.339627
789,789,-80.179574,26.336801
790,790,-80.178815,26.329732
791,791,-80.267426,26.928058
792,792,-80.208023,26.920123
793,793,-80.247982,26.88849
794,794,-80.21354,26.866758
795,795,-80.209278,26.890374
796,796,-80.155231,26.889594
797,797,-80.15238,26.874546
798,798,-80.147792,26.852932
799,799,-80.174041,26.830811
800,800,-80.135492,26.831872
801,801,-80.13925,26.80521
802,802,-80.140407,26.775789
803,803,-80.139654,26.729522
804,804,-80.204027,26.711241
805,805,-80.220875,26.721318
806,806,-80.238314,26.712735
807,807,-80.311839,26.700261
808,808,-80.322122,26.69575
809,809,-80.322196,26.715886
810,810,-80.252766,26.684936
811,811,-80.230057,26.686377
812,812,-80.223984,26.699338
813,813,-80.213084,26.704171
814,814,-80.222689,26.68625
815,815,-80.206128,26.682264
816,816,-80.210343,26.693997
817,817,-80.192165,26.699241
818,818,-80.164969,26.701572
819,819,-80.154579,26.698816
820,820,-80.169512,26.682065
821,821,-80.189017,26.684239
822,822,-80.355427,26.919876
823,823,-80.273901,26.873736
824,824,-80.280542,26.839309
825,825,-80.211092,26.826608
826,826,-80.205738,26.78873
827,827,-80.325998,26.950667
828,828,-80.309609,26.928778
829,829,-80.271212,26.94993
830,830,-80.272846,26.90474
831,831,-80.237581,26.918602
832,832,-80.207099,26.949485
833,833,-80.174064,26.945916
834,834,-80.183703,26.918452
835,835,-80.165839,26.926141
836,836,-80.157532,26.908246
837,837,-80.127877,26.961175
838,838,-80.115672,26.950039
839,839,-80.13129,26.936072
840,840,-80.130458,26.939182
841,841,-80.136952,26.935774
842,842,-80.132557,26.929934
843,843,-80.122282,26.930329
844,844,-80.114116,26.930138
845,845,-80.130527,26.922648
846,846,-80.184688,26.88939
847,847,-80.183608,26.858655
848,848,-80.16884,26.858321
849,849,-80.123115,26.863176
850,850,-80.113097,26.862236
851,851,-80.109102,26.843426
852,852,-80.182313,26.820041
853,853,-80.227913,26.849523
